List Sr. No.,Name,Country,Origin,State Association,DOB,Age,Age Group,Specialism,R/L,Test caps,ODI caps,T20 caps,IPL,C/U/A,Reserve Price Rs Lakh
1,Mayank Agarwal,India,Indian,KSCA,16-02-1991,32,Senior,BATSMAN,RHB,21,5,0,113,Capped,100
2,Harry Brook,England,Foreigner,FOREIGNER,22-02-1999,24,Junior,BATSMAN,RHB,1,0,20,0,Capped,150
3,Ajinkya Rahane,India,Indian,MCA,06-06-1988,34,SuperSenior,BATSMAN,RHB,82,90,20,158,Capped,50
4,Joe Root,England,Foreigner,FOREIGNER,30-12-1990,32,Senior,BATSMAN,RHB,124,158,32,0,Capped,100
5,Rilee Rossouw,South Africa,Foreigner,FOREIGNER,09-10-1989,33,Senior,BATSMAN,LHB,0,36,26,5,Capped,200
6,Kane Williamson,New Zealand,Foreigner,FOREIGNER,08-08-1990,32,Senior,BATSMAN,RHB,88,155,87,76,Capped,200
7,Sam Curran,England,Foreigner,FOREIGNER,03-06-1998,24,Junior,ALL-ROUNDER,LHB,24,18,35,32,Capped,200
8,Cameron Green,Australia,Foreigner,FOREIGNER,03-06-1999,23,Junior,ALL-ROUNDER,RHB,14,13,8,0,Capped,200
9,Shakib Al Hasan,Bangladesh,Foreigner,FOREIGNER,24-03-1987,36,SuperSenior,ALL-ROUNDER,LHB,63,221,109,71,Capped,150
10,Jason Holder,West Indies,Foreigner,FOREIGNER,05-11-1991,31,Senior,ALL-ROUNDER,RHB,56,131,49,38,Capped,200
11,Sikandar Raza,Zimbabwe,Foreigner,FOREIGNER,24-04-1986,36,SuperSenior,ALL-ROUNDER,RHB,17,123,66,0,Capped,50
12,Odean Smith,West Indies,Foreigner,FOREIGNER,01-11-1996,26,Junior,ALL-ROUNDER,RHB,0,5,24,6,Capped,50
13,Ben Stokes,England,Foreigner,FOREIGNER,04-06-1991,31,Senior,ALL-ROUNDER,LHB,86,105,43,43,Capped,200
14,Tom Banton,England,Foreigner,FOREIGNER,11-11-1998,24,Junior,WICKETKEEPER,RHB,0,6,14,2,Capped,200
15,Litton Das,Bangladesh,Foreigner,FOREIGNER,13-10-1994,28,Senior,WICKETKEEPER,RHB,35,57,65,0,Capped,50
16,Heinrich Klaasen,South Africa,Foreigner,FOREIGNER,30-07-1991,31,Senior,WICKETKEEPER,RHB,1,30,38,7,Capped,100
17,Kusal Mendis,Sri Lanka,Foreigner,FOREIGNER,02-02-1995,28,Senior,WICKETKEEPER,RHB,54,87,49,0,Capped,50
18,Nicholas Pooran,West Indies,Foreigner,FOREIGNER,02-10-1995,27,Senior,WICKETKEEPER,LHB,0,52,72,47,Capped,200
19,Phil Salt,England,Foreigner,FOREIGNER,28-08-1996,26,Junior,WICKETKEEPER,RHB,0,11,13,0,Capped,200
20,Chris Jordan,England,Foreigner,FOREIGNER,04-10-1988,34,SuperSenior,BOWLER,RHB,8,35,84,28,Capped,200
21,Adam Milne,New Zealand,Foreigner,FOREIGNER,13-04-1992,30,Senior,BOWLER,RHB,0,41,35,10,Capped,200
22,Jhye Richardson,Australia,Foreigner,FOREIGNER,20-09-1996,26,Junior,BOWLER,RHB,3,15,18,3,Capped,150
23,Ishant Sharma,India,Indian,DDCA,02-09-1988,34,SuperSenior,BOWLER,RHB,105,80,14,93,Capped,50
24,Reece Topley,England,Foreigner,FOREIGNER,21-02-1994,29,Senior,BOWLER,RHB,0,20,22,0,Capped,75
25,Jaydev Unadkat,India,Indian,SCA,18-10-1991,31,Senior,BOWLER,RHB,1,7,10,91,Capped,50
26,Akeal Hosein,West Indies,Foreigner,FOREIGNER,25-04-1993,29,Senior,BOWLER,LHB,0,29,32,0,Capped,100
27,Mayank Markande,India,Indian,PCA,11-11-1997,25,Junior,BOWLER,RHB,0,0,1,20,Capped,50
28,Mujeeb Rahman,Afghanistan,Foreigner,FOREIGNER,28-03-2001,22,Junior,BOWLER,RHB,1,54,36,19,Capped,100
29,Adil Rashid,England,Foreigner,FOREIGNER,17-02-1988,35,SuperSenior,BOWLER,RHB,19,119,92,1,Capped,200
30,Tabraiz Shamsi,South Africa,Foreigner,FOREIGNER,18-02-1990,33,Senior,BOWLER,RHB,2,39,59,5,Capped,100
31,Adam Zampa,Australia,Foreigner,FOREIGNER,31-12-1992,30,Senior,BOWLER,RHB,0,75,72,14,Capped,150
32,Shubham Khajuria,India,Indian,JKCA,13-09-1995,27,Senior,BATSMAN,RHB,0,0,0,0,Uncapped,20
33,Rohan Kunnummal,India,Indian,KCA,10-05-1998,24,Junior,BATSMAN,RHB,0,0,0,0,Uncapped,20
34,Chethan L.R.,India,Indian,KSCA,25-05-2000,22,Junior,BATSMAN,RHB,0,0,0,0,Uncapped,20
35,Shaik Rasheed,India,Indian,ACA,24-09-2004,18,Youngester,BATSMAN,RHB,0,0,0,0,Uncapped,20
36,Anmolpreet Singh,India,Indian,PCA,28-03-1998,25,Junior,BATSMAN,RHB,0,0,0,3,Uncapped,20
37,Himmat Singh,India,Indian,DDCA,08-11-1996,26,Junior,BATSMAN,RHB,0,0,0,0,Uncapped,20
38,Corbin Bosch,South Africa,Foreigner,FOREIGNER,10-09-1994,28,Senior,ALL-ROUNDER,RHB,0,0,0,0,Uncapped,20
39,Priyam Garg,India,Indian,UPCA,30-11-2000,22,Junior,ALL-ROUNDER,RHB,0,0,0,21,Uncapped,20
40,Saurabh Kumar,India,Indian,UPCA,01-05-1993,29,Senior,ALL-ROUNDER,LHB,0,0,0,0,Uncapped,20
41,Vivrant Sharma,India,Indian,JKCA,30-10-1999,23,Junior,ALL-ROUNDER,LHB,0,0,0,0,Uncapped,20
42,Nishant Sindhu,India,Indian,HCA,09-04-2004,18,Youngester,ALL-ROUNDER,LHB,0,0,0,0,Uncapped,20
43,Sanvir Singh,India,Indian,PCA,12-10-1996,26,Junior,ALL-ROUNDER,RHB,0,0,0,0,Uncapped,20
44,Shashank Singh,India,Indian,CSCSCA,21-11-1991,31,Senior,ALL-ROUNDER,RHB,0,0,0,10,Uncapped,20
45,Samarth Vyas,India,Indian,SCA,28-11-1995,27,Senior,ALL-ROUNDER,RHB,0,0,0,0,Uncapped,20
46,K.S. Bharat,India,Indian,ACA,03-10-1993,29,Senior,WICKETKEEPER,RHB,0,0,0,10,Uncapped,20
47,Mohammed Azharuddeen,India,Indian,KCA,22-03-1994,29,Senior,WICKETKEEPER,RHB,0,0,0,0,Uncapped,20
48,Dinesh Bana,India,Indian,HCA,15-09-2004,18,Youngester,WICKETKEEPER,RHB,0,0,0,0,Uncapped,20
49,Abhimanyu Easwaran,India,Indian,CAB,06-09-1995,27,Senior,WICKETKEEPER,RHB,0,0,0,0,Uncapped,20
50,N. Jagadeesan,India,Indian,TNCA,24-12-1995,27,Senior,WICKETKEEPER,RHB,0,0,0,7,Uncapped,20
51,Sumit Kumar,India,Indian,HCA,12-12-1995,27,Senior,WICKETKEEPER,RHB,0,0,0,0,Uncapped,20
52,Upendra Singh Yadav,India,Indian,RSPB,08-10-1996,26,Junior,WICKETKEEPER,RHB,0,0,0,0,Uncapped,20
53,Vaibhav Arora,India,Indian,HPCA,14-12-1997,25,Junior,BOWLER,RHB,0,0,0,5,Uncapped,20
54,K.M. Asif,India,Indian,KCA,24-07-1993,29,Senior,BOWLER,RHB,0,0,0,3,Uncapped,30
55,Mukesh Kumar,India,Indian,CAB,12-10-1993,29,Senior,BOWLER,RHB,0,0,0,0,Uncapped,20
56,Shivam Mavi,India,Indian,UPCA,26-11-1998,24,Junior,BOWLER,RHB,0,0,0,32,Uncapped,40
57,Lance Morris,Australia,Foreigner,FOREIGNER,28-03-1998,25,Junior,BOWLER,RHB,0,0,0,0,Uncapped,30
58,Yash Thakur,India,Indian,VCA,28-12-1998,24,Junior,BOWLER,RHB,0,0,0,0,Uncapped,20
59,Mujtaba Yousuf,India,Indian,JKCA,07-06-2002,20,Youngester,BOWLER,LHB,0,0,0,0,Uncapped,20
60,Murugan Ashwin,India,Indian,TNCA,08-09-1990,32,Senior,BOWLER,RHB,0,0,0,42,Uncapped,20
61,Chintal Gandhi,India,Indian,BCA,25-08-1994,28,Senior,BOWLER,LHB,0,0,0,0,Uncapped,20
62,Shreyas Gopal,India,Indian,KSCA,04-09-1993,29,Senior,BOWLER,RHB,0,0,0,49,Uncapped,20
63,S Midhun,India,Indian,KCA,07-10-1994,28,Senior,BOWLER,RHB,0,0,0,1,Uncapped,20
64,Izharulhuq Naveed,Afghanistan,Foreigner,FOREIGNER,10-11-2003,19,Youngester,BOWLER,RHB,0,0,0,0,Uncapped,20
65,Himanshu Sharma,India,Indian,RCA,06-06-1998,24,Junior,BOWLER,RHB,0,0,0,0,Uncapped,20
66,Travis Head,Australia,Foreigner,FOREIGNER,29-12-1993,29,Senior,BATSMAN,LHB,28,51,17,10,Capped,200
67,Will Jacks,England,Foreigner,FOREIGNER,21-11-1998,24,Junior,BATSMAN,RHB,0,0,2,0,Capped,150
68,Dawid Malan,England,Foreigner,FOREIGNER,03-09-1987,35,SuperSenior,BATSMAN,LHB,22,12,55,1,Capped,150
69,Manish Pandey,India,Indian,KSCA,10-09-1989,33,Senior,BATSMAN,RHB,0,29,39,160,Capped,100
70,Sherfane Rutherford,West Indies,Foreigner,FOREIGNER,15-08-1998,24,Junior,BATSMAN,LHB,0,0,6,10,Capped,150
71,Mandeep Singh,India,Indian,PCA,18-12-1991,31,Senior,BATSMAN,RHB,0,0,3,108,Capped,50
72,Paul Stirling,Ireland,Foreigner,FOREIGNER,03-09-1990,32,Senior,BATSMAN,RHB,3,139,121,0,Capped,50
73,Rassie Van Der Dussen,South Africa,Foreigner,FOREIGNER,07-02-1989,34,SuperSenior,BATSMAN,RHB,17,38,41,3,Capped,200
74,Daryl Mitchell,New Zealand,Foreigner,FOREIGNER,20-05-1991,31,Senior,ALL-ROUNDER,RHB,12,11,41,2,Capped,100
75,Mohammad Nabi,Afghanistan,Foreigner,FOREIGNER,01-01-1985,38,SuperSenior,ALL-ROUNDER,RHB,3,135,104,17,Capped,100
76,Jimmy Neesham,New Zealand,Foreigner,FOREIGNER,17-09-1990,32,Senior,ALL-ROUNDER,LHB,12,71,60,14,Capped,200
77,Wayne Parnell,South Africa,Foreigner,FOREIGNER,30-07-1989,33,Senior,ALL-ROUNDER,LHB,6,69,53,26,Capped,75
78,Daniel Sams,Australia,Foreigner,FOREIGNER,27-10-1992,30,Senior,ALL-ROUNDER,RHB,0,0,10,16,Capped,75
79,Dasun Shanaka,Sri Lanka,Foreigner,FOREIGNER,09-09-1991,31,Senior,ALL-ROUNDER,RHB,6,42,82,0,Capped,50
80,Romario Shepherd,West Indies,Foreigner,FOREIGNER,26-11-1994,28,Senior,ALL-ROUNDER,RHB,0,18,23,3,Capped,50
81,Taskin Ahmed,Bangladesh,Foreigner,FOREIGNER,03-04-1995,28,Senior,BOWLER,LHB,11,51,46,0,Capped,50
82,Dushmanta Chameera,Sri Lanka,Foreigner,FOREIGNER,11-01-1992,31,Senior,BOWLER,RHB,12,42,52,12,Capped,50
83,Kyle Jamieson,New Zealand,Foreigner,FOREIGNER,30-12-1994,28,Senior,BOWLER,RHB,16,8,8,9,Capped,100
84,Riley Meredith,Australia,Foreigner,FOREIGNER,21-06-1996,26,Junior,BOWLER,RHB,0,1,5,13,Capped,150
85,Blessing Muzarabani,Zimbabwe,Foreigner,FOREIGNER,02-10-1996,26,Junior,BOWLER,RHB,6,33,34,0,Capped,50
86,Sandeep Sharma,India,Indian,UTCA,18-05-1993,29,Senior,BOWLER,RHB,0,0,2,104,Capped,50
87,Johnson Charles,West Indies,Foreigner,FOREIGNER,14-01-1989,34,SuperSenior,WICKETKEEPER,RHB,0,48,38,0,Capped,50
88,Andre Fletcher,West Indies,Foreigner,FOREIGNER,28-11-1987,35,SuperSenior,WICKETKEEPER,RHB,0,25,54,0,Capped,50
89,Shai Hope,West Indies,Foreigner,FOREIGNER,10-11-1993,29,Senior,WICKETKEEPER,RHB,38,104,19,0,Capped,100
90,Tom Latham,New Zealand,Foreigner,FOREIGNER,02-04-1992,31,Senior,WICKETKEEPER,LHB,68,116,18,0,Capped,100
91,Ben Mcdermott,Australia,Foreigner,FOREIGNER,12-12-1994,28,Senior,WICKETKEEPER,RHB,0,5,23,0,Capped,50
92,Joshua Philippe,Australia,Foreigner,FOREIGNER,01-06-1997,25,Junior,WICKETKEEPER,RHB,0,3,10,5,Capped,75
93,Lorcan Tucker,Ireland,Foreigner,FOREIGNER,10-09-1996,26,Junior,WICKETKEEPER,RHB,0,29,49,0,Capped,50
94,Piyush Chawla,India,Indian,GUCA,24-12-1988,34,SuperSenior,BOWLER,LHB,3,25,7,165,Capped,50
95,Amit Mishra,India,Indian,HCA,24-11-1982,40,SuperSenior,BOWLER,RHB,22,36,10,154,Capped,50
96,Shahbaz Nadeem,India,Indian,JSCA,12-08-1989,33,Senior,BOWLER,RHB,2,0,0,72,Capped,50
97,Ish Sodhi,New Zealand,Foreigner,FOREIGNER,31-10-1992,30,Senior,BOWLER,RHB,17,37,88,8,Capped,75
98,Sachin Baby,India,Indian,KCA,18-12-1988,34,SuperSenior,BATSMAN,LHB,0,0,0,19,Uncapped,20
99,Harpreet Bhatia,India,Indian,CSCSCA,11-08-1991,31,Senior,BATSMAN,LHB,0,0,0,4,Uncapped,20
100,Ashwin Hebbar,India,Indian,ACA,15-11-1995,27,Senior,BATSMAN,RHB,0,0,0,0,Uncapped,20
101,Pukhraj Mann,India,Indian,PCA,07-06-2001,21,Youngester,BATSMAN,LHB,0,0,0,0,Uncapped,20
102,Akshat Raghuwanshi,India,Indian,MPCA,15-09-2003,19,Youngester,BATSMAN,RHB,0,0,0,0,Uncapped,20
103,Himanshu Rana,India,Indian,HCA,01-10-1998,24,Junior,BATSMAN,RHB,0,0,0,0,Uncapped,20
104,Shoun Roger,India,Indian,KCA,16-10-2002,20,Youngester,BATSMAN,RHB,0,0,0,0,Uncapped,20
105,Virat Singh,India,Indian,JSCA,08-12-1997,25,Junior,BATSMAN,LHB,0,0,0,3,Uncapped,20
106,Will Smeed,England,Foreigner,FOREIGNER,26-10-2001,21,Youngester,BATSMAN,RHB,0,0,0,0,Uncapped,40
107,Apoorv Wankhade,India,Indian,VCA,14-03-1992,31,Senior,BATSMAN,RHB,0,0,0,0,Uncapped,30
108,Manoj Bhandage,India,Indian,KSCA,05-10-1998,24,Junior,ALL-ROUNDER,LHB,0,0,0,0,Uncapped,20
109,Gerald Coetzee,South Africa,Foreigner,FOREIGNER,02-10-2000,22,Junior,ALL-ROUNDER,RHB,0,0,0,0,Uncapped,20
110,Mayank Dagar,India,Indian,HPCA,11-11-1996,26,Junior,ALL-ROUNDER,RHB,0,0,0,0,Uncapped,20
111,Duan Jansen,South Africa,Foreigner,FOREIGNER,01-05-2000,22,Junior,ALL-ROUNDER,RHB,0,0,0,0,Uncapped,20
112,Evan Jones,South Africa,Foreigner,FOREIGNER,05-08-1996,26,Junior,ALL-ROUNDER,RHB,0,0,0,0,Uncapped,20
113,Prerak Mankad,India,Indian,SCA,23-04-1994,28,Senior,ALL-ROUNDER,RHB,0,0,0,0,Uncapped,20
114,Abid Mushtaq,India,Indian,JKCA,17-01-1997,26,Junior,ALL-ROUNDER,LHB,0,0,0,0,Uncapped,20
115,Suryansh Shedge,India,Indian,MCA,29-01-2003,20,Youngester,ALL-ROUNDER,RHB,0,0,0,0,Uncapped,20
116,Jagadeesha Suchith,India,Indian,KSCA,16-01-1994,29,Senior,ALL-ROUNDER,LHB,0,0,0,22,Uncapped,20
117,Akash Vashisht,India,Indian,HPCA,17-12-1994,28,Senior,ALL-ROUNDER,LHB,0,0,0,0,Uncapped,20
118,Ricky Bhui,India,Indian,ACA,29-09-1996,26,Junior,WICKETKEEPER,RHB,0,0,0,2,Uncapped,20
119,Donovan Ferreira,South Africa,Foreigner,FOREIGNER,21-07-1998,24,Junior,WICKETKEEPER,RHB,0,0,0,0,Uncapped,20
120,Baba Indrajith,India,Indian,TNCA,08-07-1994,28,Senior,WICKETKEEPER,RHB,0,0,0,3,Uncapped,20
121,Sheldon Jackson,India,Indian,SCA,27-09-1986,36,SuperSenior,WICKETKEEPER,RHB,0,0,0,9,Uncapped,20
122,Aryan Juyal,India,Indian,UPCA,11-11-2001,21,Youngester,WICKETKEEPER,RHB,0,0,0,0,Uncapped,20
123,Urvil Patel,India,Indian,GUCA,17-10-1998,24,Junior,WICKETKEEPER,RHB,0,0,0,0,Uncapped,20
124,Kirant Shinde,India,Indian,ACA,19-09-1997,25,Junior,WICKETKEEPER,LHB,0,0,0,0,Uncapped,20
125,Luvnith Sisodia,India,Indian,KSCA,15-01-2000,23,Junior,WICKETKEEPER,LHB,0,0,0,0,Uncapped,20
126,Vishnu Solanki,India,Indian,BCA,15-10-1992,30,Senior,WICKETKEEPER,RHB,0,0,0,0,Uncapped,20
127,Vishnu Vinod,India,Indian,KCA,02-12-1993,29,Senior,WICKETKEEPER,RHB,0,0,0,3,Uncapped,20
128,Aniket Choudhary,India,Indian,RCA,28-01-1990,33,Senior,BOWLER,RHB,0,0,0,5,Uncapped,30
129,Vidwath Kaverappa,India,Indian,KSCA,25-02-1999,24,Junior,BOWLER,RHB,0,0,0,0,Uncapped,20
130,Rajan Kumar,India,Indian,CAU,08-07-1996,26,Junior,BOWLER,LHB,0,0,0,0,Uncapped,20
131,Ravi Kumar,India,Indian,CAB,29-10-2003,19,Youngester,BOWLER,LHB,0,0,0,0,Uncapped,20
132,Sushant Mishra,India,Indian,JSCA,23-12-2000,22,Junior,BOWLER,LHB,0,0,0,0,Uncapped,20
